경상남도 진주시,307,277,121,236,399,21,94,385,111,181,51
경상남도 통영시,233,92,52,134,158,10,33,108,61,62,17
경상남도 사천시,142,58,37,86,130,5,23,123,29,73,28
경상남도 김해시,422,347,105,331,624,35,151,699,106,214,70
경상남도 밀양시,166,29,17,76,121,3,20,121,19,62,16
경상남도 거제시,229,188,77,261,338,20,62,225,46,106,45
경상남도 양산시,220,125,72,180,323,19,69,372,55,119,47
경상남도 의령군,68,10,7,14,27,1,4,15,5,21,4
경상남도 함안군,87,23,14,45,80,2,14,115,13,40,14
경상남도 창녕군,106,25,16,40,85,1,17,78,11,43,8
경상남도 고성군,91,22,12,37,60,1,8,51,9,30,8
경상남도 남해군,92,25,13,40,55,2,5,50,5,27,11
경상남도 하동군,112,20,11,22,49,0,7,54,7,32,6
경상남도 산청군,64,8,7,12,28,0,4,28,6,26,3
경상남도 함양군,78,11,12,16,46,1,6,30,6,29,9
경상남도 거창군,103,18,27,34,73,2,21,27,14,47,8
경상남도 합천군,85,8,10,10,44,1,6,24,11,43,6
제주시,382,554,218,620,444,36,148,417,184,206,92
서귀포시,212,200,64,245,162,20,45,182,48,76,29
